AARBERGSBOTTEN, Torhild
SOLHJELL, Vegar Bård
SOLHOLM, Lodve
SOLLI, Hallgeir Inge
SOLSVIK, Helge Jonni
SOLVIK-OLSEN, Ketil
SØNDERGAARD, Synnøve
SØNSTERUD, Merete Tone
SØREIDE, Eriksen M. Ine
SØRENSEN, Heidi
SØRENSEN, O. Therese Unn
SØRFONN, Ingebrigt
SØRFONN, S. Ingebrigt
SORTEVIK, Arne
SØTTAR, Dyveke Hanne
SØVIKNES, Terje
SPONHEIM, Lars
SPURKELAND, Charlotte
STAAHLE, Tom
STANG, Berge Gunhild
STANG, L. Jørn
STARHEIM, Åge
STARRFELT, Ausdal Oddbjørg
STEENERSEN, Tønnes Knut
STEENSNÆS, Einar
STEFFENSEN, Roy
STEINNES, Sigmund
STENERSEN, Aina
STENERSEN, Ruth
STENSAKER, Christopher
STENSENG, J. Terje
STENSENG, Kjersti
STENSENG, Terje
STENSLAND, Sveinung
STERRI, Frost Siri
STOKKAN-GRANDE, Arild
STOKSTAD, Inger
STOLTENBERG, Jens
STOLT-NIELSEN, Inger
STORBERGET, Knut
STORDALEN, Morten
STØRE, Gahr Jonas
STORSTRAND, Kari
STRANDRUD, Brit
STRÅTVEIT, Brit Anne
STRØM-ERICHSEN, Anne-Grete
STRØM, Tor-Arne
SUND, Elisabeth Frøydis
SUND, Kristin Eirin
SUNDSBØ, Dagfinn
SUNDTOFT, Tine
SVENDSEN, Arvid Kjell
SVENDSEN, Kenneth
SV, Myrvoll Inge
SWENSEN, Karl-Anton
SYDNES, Kristin Anne
SYVERSEN, Olav Hans
TAJIK, Hadia
TARIQ, Shahbaz
TEIGEN, Ole-Anton
TEIGEN, Ole Dag
TENDEN, Borghild
TEPPEN, Olav
TETZSCHNER, Michael
THOMMESSEN, Olemic
THOMSEN, Ib
THORESEN, Tom
THORHEIM, Helge
THORKILDSEN, Marte Inga
THORSEN, Bente
THORSEN, Laila
THORVALDSEN, Rune Tom
THUNE, John
THÜRMER, Hanne
TINGELSTAD, Marit
TOFTEN, Tone-Helen
TOKERUD, Niclas
TØMMERÅS, Sofie Ane
TØNDER, Mette
TØNNE, Tore
TOPPE, Kjersti
TORGERSEN, Petter Knut
TORP, Egil Bernt
TØRRESDAL, Bjørg
TØRSET, Jon
TORVE, Tove-Lise
TOSKEDAL, S. Geir
TOSKEDAL, Sigbjørn Geir
TOVAN, Åge
TRÆLDAL, Torgeir
TRELLEVIK, Bernt Ove
TRETTEBERGSTUEN, Anette
TRØEN, Wilhelmsen Tone
TUNG, O. Karianne
TVEITEN, Kristoffer Ole
TVEITEN, Rita
TVETE, Bjarne Lars
TYBRING-GJEDDE, Christian
TYVAND, Anders
ULFSTEN, E. Ingunn
UTSOGN, Sigbjørn Tor
VÅGSLID, Lene
VAKSDAL, Øyvind
VALEN, Serigstad Snorre
VALLE, Ågot
VALLERSNES, Kristian Finn
VALLERSNES, Martin Finn
VALVED, Harald
VARØY, Helén Mari
VATNE, Oddbjørn
VEDUM, Slagsvold Trygve
VENNESLAND, Kysnes Line
VENNESLAND, Line
VERDAL, Linda
VESTBY, Thore
VEVATNE, M. Jan
VIHOVDE, Britt May
VINJE, Kristin
VOGT, Fredrik Jan
VOIE, Fredrik Søren
VOLLEBÆK, Knut
VOTERING, 
WAND, Christopher
WARLOE, Henning
WENSTØB, Morten Bengt
WERP, B. Anders
WESSEL, Astri
WESTERVELD, Even
WIBORG, Erlend
WICKHOLM, Truls
WIDTH, Ove Per
WIDVEY, Thorhild
WILHELMSEN, Støback Kristian
WØIEN, Tingelstad Anne
WOLD, Morten
WOLDSETH, S. Karin
YRVIN, Karin
